Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Kenya,KEN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,112.227,110.195,108.691,104.615,100.219,95.576,89.953,81.864,73.781,68.182,66.659,63.656,59.38,59.513,57.272,..
Kenya,KEN,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,22.1963401579826,16.2549814662286,17.5677598863696,18.8947112249953,18.8297259329446,18.6165515854622,18.3478393393556,19.4696147780528,20.0345164328349,20.8936374065292,20.314910419968,20.8611638110686,22.7027261604451,21.4770750957252,21.0361920649933,21.8099563923185
Kenya,KEN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,14.3064182193237,14.9261559695652,15.5458937198068,15.5478260869565,15.5497584541063,15.551690821256,15.5536231884058,15.5555555555556,19.4782608695652,19.4782608695652,19.4782608695652,19.4782608695652,19.4782608695652,19.4782608695652,..,..
Kenya,KEN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,43.8,..,..,..,..,61.8,..,70.2,..,..,..,..,..,..,..
Kenya,KEN,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,45.5,..,..,..,..,58,64.1,61.2,60,61.9,59.7,65.1,..,..,..
Kenya,KEN,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Kenya,KEN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,140.946552256291,141.503512184979,149.380145715116,150.169109220278,151.999497451519,162.89225875213,166.639740255679,..,..,..,..,..,..,..,..,..
Kenya,KEN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,450.165382644256,462.523408524129,469.237630228945,465.9964258302,459.552856258762,474.190990862184,513.123346414357,..,..,..,..,..,..,..,..,..
Kenya,KEN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,22.6740575532267,18.7749454916013,20.1243596478793,21.5494770708279,19.8649477228834,17.7921805531655,16.4728044658123,15.1287339034504,13.2497448006759,12.7366599413725,12.541975333359,11.4279956869332,9.64186888186451,10.7695743362259,12.1919692160845,11.6861054407608
Kenya,KEN,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,7691776548.9,8585721249,8885235532.9,10042095566.4,11832175543.2,13775500738.7,16911742536.7,19783760501.7,21057671043.3,26951349499.4,31433802015.7,34970099589.9,38038451074.1,41219100011.5,41556299639.8,42910026054.2
Kenya,KEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.646,4.514,4.367,4.219,4.088,3.952,3.844,3.8,3.724,3.643,3.58,3.469,3.397,3.335,3.296,..
Kenya,KEN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,95585680.233444,116257608.986359,178064606.752108,1450474757.0818,1380173661.94265,1118825000.19331,820937598.36054,619724465.016411,469533310.683932,1346085345.21692,767761506.730644,469940266.776669,-5403752.28986896,419719612.932137,791581760.055161,728766608.605276
Kenya,KEN,Forest area (sq. km),AG.LND.FRST.K2,36853.1,36508.25,36163.4,35975.54,35787.68,35599.82,35411.96,35224.1,35519.7,35815.3,36110.9,36110.9,36110.9,36110.9,36110.9,..
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,35895153327.8497,42347217912.9176,45405615063.7551,46869473150.61,56396704671.5777,61671440407.8387,68285796514.2896,70120446896.8359,74815144163.8931,82036510877.2599,92202979985.2863,100378436207.371,100657505750.545,109703658904.994,114448978152.637,108038588970.595
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.232282744812977,3.30693981631089,8.05847360290906,5.1211061197056,4.56867961444982,3.7978483925754,5.02011100232484,4.96772112759767,4.21351706814744,3.83795817364721,5.64794640709219,5.11415885767801,-0.272766327438816,7.59048947333467,4.85998104287999,5.55587301319866
Kenya,KEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,830,830,930,1010,1060,1130,1250,1320,1490,1540,1720,1880,1910,2070,2170,2110
Kenya,KEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2460,2170,2310,2460,2530,2750,2980,3320,3860,4100,4350,4610,4760,5260,5790,6200
Kenya,KEN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,32710324299.8731,33429518993.3187,38745132326.0621,43127835272.4114,46512374618.0548,50624928687.1964,57582713234.2114,62095754502.3638,71748257092.2357,75691962706.1825,86589036361.0521,96154458897.4586,99712048015.3376,110339108512.713,117689640763.894,116961158793.37
Kenya,KEN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,96338850222.8299,87506739515.8357,96202675495.9382,105284725887.098,111203385043.76,123488990916.32,137250578495.32,156100504955.454,186000269591.319,201600741005.068,218150951745.001,236169875961.746,248575224867.849,280169164036.839,314271691878.35,342940513798.935
Kenya,KEN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,19.6127114227698,19.0191724248254,21.2639987992095,21.8858122759467,22.1933629258823,22.4049681039862,24.9507189987733,22.1033982020293,19.3484358309332,20.6634949022773,19.3759862497025,19.3418324204191,19.6515841707054,20.3912447822361,19.0540638513609,16.3568914711063
Kenya,KEN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,4.69438903898791,6.0626734671998,6.71761896936788,..,..,4.0691011885942,..,4.3660951885799,7.58623435569943,3.34859041785183,3.61296275113367,4.59327769222193,5.11178261072947,3.12736061396888,2.26073811025712,3.04169416728318
Kenya,KEN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,90,88,86,87,93,94,95,96,93,84,92,92,89,90,89,91
Kenya,KEN,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,34.9045410940864,27.1702463211792,30.2699277024041,36.8527289037346,31.7587443003647,29.6724619595649,29.6976848964037,25.1986507884515,21.6152747725065,23.2583979340349,21.8727778433835,20.3314661545478,17.5959466433724,20.0547288409003,21.4991695109477,20.405973840686
Kenya,KEN,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,6.2,..,..,..,..,7.3,7.2,..,..
Kenya,KEN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,18.5827717274425,18.386624667775,18.5746727706851,19.6629008334867,19.26155255789,19.0802591143975,19.0360328023672,18.8940456983605,18.1621592865164,17.5035092078691,17.313146131064,16.9305452274709,17.4002876322786,17.1524357767952,17.5274480968435,16.8580693934385
Kenya,KEN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,15.1511749642626,27.6968163767013,1.63919964802533,10.0650129672316,9.52297221154848,7.3375622336044,7.63503190149002,9.23865468396285,5.84962894648808,7.58193402820181,4.21502841459056,4.2752342393575,4.94885283291357,4.3307475585662,6.95705445631218,6.10780209189015
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.614,60.365,60.649,61.046,61.115,61.389,61.816,61.892,62.163,62.481,62.676,62.943,62.675,61.427,62.055,..
Kenya,KEN,Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,44.9336428589264,34.6303741373447,38.0173244559335,43.8195665950913,39.7487763346172,36.0199143284101,35.8947266506158,31.373160003338,26.4679032852238,27.3463604925433,25.4113261889572,23.405425395813,21.3287621622631,23.9718531382575,24.9692050215491,23.8581420264712
Kenya,KEN,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.61585029427424,1.36507571681354,1.3699852575929,1.37974304585955,1.48957729008126,1.39539650803677,1.19943336712808,1.20316940776845,1.24730980077159,1.23759400127025,1.20738536752593,1.1125711791299,1.10843419595019,1.07720025210221,1.01020520038813,0.905816835053688
Kenya,KEN,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,41.60465635,47.97429887,60.14006827,65.86296741,70.28287597,71.06121963,73.38263833,80.50105901,81.39149513,87.47035459,99.09540718,107.0734925,118.1263492,122.7902388,121.6735548,..
Kenya,KEN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,58.5,55.2,53.3,52.1,51.3,50.1,48.9,47.5,46.3,45.4,44.3,43.4,43,41.9,41.1,..
Kenya,KEN,Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,86.1675116296,96.7796292078,95.1124521804,91.5680542823,91.1666182542,87.6528848886,88.3775803817,100,99.7216503957,104.6033030797,98.3679403125,99.098562776,99.3224961106,92.1551646806,..,..
Kenya,KEN,Net migration,SM.POP.NETM,29612,7096,-21069,-44795,-42928,-57634,-72415,-95977,-29728,-68702,-115436,-61949,-17111,-52552,-10003,-10003
Kenya,KEN,Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,1249430053.71094,1697680053.71094,1631260009.76563,2478820068.35938,2653659912.10938,3306840087.89063,2661030029.29688,2463560058.59375,2188389892.57813,2480219970.70313,2491010009.76563,3171919921.875,3989209960.9375,3176919921.875,2652010009.76563,..
Kenya,KEN,"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT,667317334.023689,631460883.164752,685757272.44336,934149203.154614,1211021439.49348,1304277230.82376,1440846249.81752,1569267849.8376,1744639174.70127,1962273106.47771,2720366061.45975,2838192215.41577,3107932253.39579,3770089638.54769,4059710201.31201,4227611606.30686
