"EA_code","t0_EA_code","interview__key","health_water_id","s4lq103","s4lq104","s4lq105"
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",4,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",3,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",2,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",1,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",5,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",7,,,
"00928229c3e64db9a66fd1f0d4dff345",,"12-09-37-88",6,,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",4,2,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",6,2,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",1,1,0,1
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",7,2,0,96
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",2,2,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",5,2,,
"03e3d013ed9a4a7b9e72a04e5867ed88",,"13-26-94-05",3,2,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",5,2,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",2,1,0,1
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",4,3,0,2
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",3,2,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",7,2,,
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",1,2,0,2
"0548b11d746b41149960bad12ade2187","3211070717","94-25-74-66",6,2,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",3,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",7,,,
"06aeb38cf33a4c6b9ad71262908541eb",,"34-90-92-66",5,,,
